Repository,Tag Name,Release Name,Published At (ISO),Published Date,Published Time,Author,Is Prerelease,Year,Month,Quarter,Month Name,Week Number,Day of Week (0=Sun),Day Name,Hour (0-23),Time Slot,Is Weekend,Season Quarter,Version Type,Release Type,Is Major Version,Is Patch Version,Is Hotfix,Days Since Epoch
daangn/stackflow,@stackflow/core@1.0.13,@stackflow/core@1.0.13,2024-07-25T08:36:50.000Z,2024-07-25,08:36:50,github-actions[bot],false,2024,7,3,July,30,4,Thursday,17,work_afternoon,false,Q3_Summer,semantic,stable,false,true,false,19929
daangn/stackflow,@stackflow/plugin-google-analytics-4@1.1.12,@stackflow/plugin-google-analytics-4@1.1.12,2024-07-25T08:36:53.000Z,2024-07-25,08:36:53,github-actions[bot],false,2024,7,3,July,30,4,Thursday,17,work_afternoon,false,Q3_Summer,semantic,stable,false,true,false,19929
daangn/stackflow,@stackflow/plugin-devtools@0.1.10,@stackflow/plugin-devtools@0.1.10,2024-07-25T08:36:56.000Z,2024-07-25,08:36:56,github-actions[bot],false,2024,7,3,July,30,4,Thursday,17,work_afternoon,false,Q3_Summer,semantic,stable,false,true,false,19929
daangn/stackflow,@stackflow/plugin-history-sync@1.5.4,@stackflow/plugin-history-sync@1.5.4,2024-07-25T08:36:59.000Z,2024-07-25,08:36:59,github-actions[bot],false,2024,7,3,July,30,4,Thursday,17,work_afternoon,false,Q3_Summer,semantic,stable,false,true,false,19929
daangn/stackflow,@stackflow/plugin-map-initial-activity@1.0.8,@stackflow/plugin-map-initial-activity@1.0.8,2024-07-25T08:37:02.000Z,2024-07-25,08:37:02,github-actions[bot],false,2024,7,3,July,30,4,Thursday,17,work_afternoon,false,Q3_Summer,semantic,stable,false,true,false,19929
daangn/stackflow,@stackflow/plugin-preload@1.3.2,@stackflow/plugin-preload@1.3.2,2024-07-25T08:37:05.000Z,2024-07-25,08:37:05,github-actions[bot],false,2024,7,3,July,30,4,Thursday,17,work_afternoon,false,Q3_Summer,semantic,stable,false,true,false,19929
daangn/stackflow,@stackflow/plugin-renderer-web@1.1.10,@stackflow/plugin-renderer-web@1.1.10,2024-07-25T08:37:08.000Z,2024-07-25,08:37:08,github-actions[bot],false,2024,7,3,July,30,4,Thursday,17,work_afternoon,false,Q3_Summer,semantic,stable,false,true,false,19929
daangn/stackflow,@stackflow/plugin-stack-depth-change@1.1.4,@stackflow/plugin-stack-depth-change@1.1.4,2024-07-25T08:37:11.000Z,2024-07-25,08:37:11,github-actions[bot],false,2024,7,3,July,30,4,Thursday,17,work_afternoon,false,Q3_Summer,semantic,stable,false,true,false,19929
daangn/stackflow,@stackflow/plugin-renderer-basic@1.1.10,@stackflow/plugin-renderer-basic@1.1.10,2024-07-25T08:37:14.000Z,2024-07-25,08:37:14,github-actions[bot],false,2024,7,3,July,30,4,Thursday,17,work_afternoon,false,Q3_Summer,semantic,stable,false,true,false,19929
daangn/stackflow,@stackflow/react@1.1.11,@stackflow/react@1.1.11,2024-07-25T08:37:17.000Z,2024-07-25,08:37:17,github-actions[bot],false,2024,7,3,July,30,4,Thursday,17,work_afternoon,false,Q3_Summer,semantic,stable,false,true,false,19929
daangn/stackflow,@stackflow/esbuild-config@1.0.3,@stackflow/esbuild-config@1.0.3,2024-07-25T08:37:20.000Z,2024-07-25,08:37:20,github-actions[bot],false,2024,7,3,July,30,4,Thursday,17,work_afternoon,false,Q3_Summer,semantic,stable,false,true,false,19929
daangn/stackflow,@stackflow/compat-await-push@1.1.11,@stackflow/compat-await-push@1.1.11,2024-07-31T10:06:35.000Z,2024-07-31,10:06:35,github-actions[bot],false,2024,7,3,July,31,3,Wednesday,19,evening,false,Q3_Summer,semantic,stable,false,true,false,19935
daangn/stackflow,@stackflow/config@1.1.0,@stackflow/config@1.1.0,2024-07-31T10:06:38.000Z,2024-07-31,10:06:38,github-actions[bot],false,2024,7,3,July,31,3,Wednesday,19,evening,false,Q3_Summer,semantic,stable,false,false,false,19935
daangn/stackflow,@stackflow/link@1.4.3,@stackflow/link@1.4.3,2024-07-31T10:06:41.000Z,2024-07-31,10:06:41,github-actions[bot],false,2024,7,3,July,31,3,Wednesday,19,evening,false,Q3_Summer,semantic,stable,false,true,false,19935
daangn/stackflow,@stackflow/plugin-basic-ui@1.8.3,@stackflow/plugin-basic-ui@1.8.3,2024-07-31T10:06:44.000Z,2024-07-31,10:06:44,github-actions[bot],false,2024,7,3,July,31,3,Wednesday,19,evening,false,Q3_Summer,semantic,stable,false,true,false,19935
daangn/stackflow,@stackflow/plugin-google-analytics-4@1.1.13,@stackflow/plugin-google-analytics-4@1.1.13,2024-07-31T10:06:47.000Z,2024-07-31,10:06:47,github-actions[bot],false,2024,7,3,July,31,3,Wednesday,19,evening,false,Q3_Summer,semantic,stable,false,true,false,19935
daangn/stackflow,@stackflow/plugin-history-sync@1.6.0,@stackflow/plugin-history-sync@1.6.0,2024-07-31T10:06:50.000Z,2024-07-31,10:06:50,github-actions[bot],false,2024,7,3,July,31,3,Wednesday,19,evening,false,Q3_Summer,semantic,stable,false,false,false,19935
daangn/stackflow,@stackflow/plugin-map-initial-activity@1.0.9,@stackflow/plugin-map-initial-activity@1.0.9,2024-07-31T10:06:53.000Z,2024-07-31,10:06:53,github-actions[bot],false,2024,7,3,July,31,3,Wednesday,19,evening,false,Q3_Summer,semantic,stable,false,true,false,19935
daangn/stackflow,@stackflow/plugin-preload@1.3.3,@stackflow/plugin-preload@1.3.3,2024-07-31T10:06:56.000Z,2024-07-31,10:06:56,github-actions[bot],false,2024,7,3,July,31,3,Wednesday,19,evening,false,Q3_Summer,semantic,stable,false,true,false,19935
daangn/stackflow,@stackflow/plugin-renderer-basic@1.1.11,@stackflow/plugin-renderer-basic@1.1.11,2024-07-31T10:06:59.000Z,2024-07-31,10:06:59,github-actions[bot],false,2024,7,3,July,31,3,Wednesday,19,evening,false,Q3_Summer,semantic,stable,false,true,false,19935
daangn/stackflow,@stackflow/plugin-renderer-web@1.1.11,@stackflow/plugin-renderer-web@1.1.11,2024-07-31T10:07:02.000Z,2024-07-31,10:07:02,github-actions[bot],false,2024,7,3,July,31,3,Wednesday,19,evening,false,Q3_Summer,semantic,stable,false,true,false,19935
daangn/stackflow,@stackflow/react@1.2.0,@stackflow/react@1.2.0,2024-07-31T10:07:05.000Z,2024-07-31,10:07:05,github-actions[bot],false,2024,7,3,July,31,3,Wednesday,19,evening,false,Q3_Summer,semantic,stable,false,false,false,19935
daangn/stackflow,@stackflow/react@1.2.1,@stackflow/react@1.2.1,2024-07-31T12:47:28.000Z,2024-07-31,12:47:28,github-actions[bot],false,2024,7,3,July,31,3,Wednesday,21,night,false,Q3_Summer,semantic,stable,false,true,false,19935
daangn/stackflow,@stackflow/plugin-basic-ui@1.8.4,@stackflow/plugin-basic-ui@1.8.4,2024-08-02T01:22:03.000Z,2024-08-02,01:22:03,github-actions[bot],false,2024,8,3,August,31,5,Friday,10,work_morning,false,Q3_Summer,semantic,stable,false,true,false,19937
