Repository,Tag Name,Release Name,Published At,Author,Is Prerelease,Year,Month,Week Number,Day of Week
daangn/stackflow,@stackflow/plugin-basic-ui@1.12.0,@stackflow/plugin-basic-ui@1.12.0,2025-02-14T02:07:00.000Z,github-actions[bot],false,2025,2,7,5
daangn/stackflow,@stackflow/react@1.5.1,@stackflow/react@1.5.1,2025-02-24T11:45:06.000Z,github-actions[bot],false,2025,2,9,1
daangn/stackflow,@stackflow/plugin-basic-ui@1.13.0,@stackflow/plugin-basic-ui@1.13.0,2025-03-14T06:58:32.000Z,github-actions[bot],false,2025,3,11,5
daangn/stackflow,@stackflow/react-ui-core@1.2.2,@stackflow/react-ui-core@1.2.2,2025-03-14T06:58:35.000Z,github-actions[bot],false,2025,3,11,5
daangn/stackflow,@stackflow/plugin-basic-ui@1.13.1,@stackflow/plugin-basic-ui@1.13.1,2025-03-27T06:55:22.000Z,github-actions[bot],false,2025,3,13,4
daangn/stackflow,@stackflow/react-ui-core@1.2.3,@stackflow/react-ui-core@1.2.3,2025-03-27T06:55:24.000Z,github-actions[bot],false,2025,3,13,4
daangn/stackflow,@stackflow/plugin-basic-ui@1.14.0,@stackflow/plugin-basic-ui@1.14.0,2025-04-09T10:08:19.000Z,github-actions[bot],false,2025,4,15,3
daangn/stackflow,@stackflow/react-ui-core@1.3.0,@stackflow/react-ui-core@1.3.0,2025-04-09T10:08:22.000Z,github-actions[bot],false,2025,4,15,3
daangn/stackflow,@stackflow/react@1.5.2,@stackflow/react@1.5.2,2025-05-12T07:52:17.000Z,github-actions[bot],false,2025,5,20,1
daangn/stackflow,@stackflow/plugin-basic-ui@1.14.1,@stackflow/plugin-basic-ui@1.14.1,2025-05-15T09:07:59.000Z,github-actions[bot],false,2025,5,20,4
daangn/stackflow,@stackflow/react-ui-core@1.3.1,@stackflow/react-ui-core@1.3.1,2025-05-15T09:08:02.000Z,github-actions[bot],false,2025,5,20,4
daangn/stackflow,@stackflow/plugin-basic-ui@1.14.2,@stackflow/plugin-basic-ui@1.14.2,2025-05-29T08:08:56.000Z,github-actions[bot],false,2025,5,22,4
daangn/stackflow,@stackflow/react-ui-core@1.3.2,@stackflow/react-ui-core@1.3.2,2025-05-29T08:08:59.000Z,github-actions[bot],false,2025,5,22,4
daangn/seed-design,@karrotmarket/styled-components-theme@0.2.0,@karrotmarket/styled-components-theme@0.2.0,2021-10-15T11:46:42.000Z,github-actions[bot],false,2021,10,41,5
daangn/seed-design,@karrotmarket/react-theming@0.2.0,@karrotmarket/react-theming@0.2.0,2021-10-15T11:46:42.000Z,github-actions[bot],false,2021,10,41,5
daangn/seed-design,@karrotmarket/react-emotion-theme@0.4.0,@karrotmarket/react-emotion-theme@0.4.0,2021-10-15T11:46:42.000Z,github-actions[bot],false,2021,10,41,5
daangn/seed-design,@karrotmarket/design-token@0.2.0,@karrotmarket/design-token@0.2.0,2021-10-15T11:46:42.000Z,github-actions[bot],false,2021,10,41,5
